step,auc,balanced_accuracy
124000.0,0.803968253968254,0.7638888888888888
125000.0,0.8,0.765079365079365
126000.0,0.7952380952380953,0.765079365079365
127000.0,0.796031746031746,0.765079365079365
128000.0,0.7984126984126985,0.765079365079365
129000.0,0.7984126984126984,0.7571428571428571
130000.0,0.8015873015873016,0.7571428571428571
131000.0,0.7984126984126984,0.7583333333333333
132000.0,0.796031746031746,0.7583333333333333
133000.0,0.8095238095238095,0.7718253968253967
134000.0,0.8126984126984127,0.7980158730158731
135000.0,0.8206349206349206,0.7980158730158731
136000.0,0.8238095238095238,0.805952380952381
137000.0,0.8222222222222222,0.805952380952381
138000.0,0.819047619047619,0.788888888888889
139000.0,0.8182539682539682,0.7944444444444444
140000.0,0.819047619047619,0.788888888888889
141000.0,0.8158730158730159,0.7865079365079365
